,first_top_up_date,second_top_up_date,segment,survival_in_days,status
4086,2022-03-09,,regular,22.0,False
6451,2022-02-08,2022-03-07,regular,27.0,True
1541,2022-02-02,,regular,57.0,False
2502,2022-02-12,2022-03-23,regular,39.0,True
3534,2022-01-15,2022-02-09,regular,25.0,True
7612,2022-01-27,2022-02-10,fast,14.0,True
3884,2022-03-11,2022-03-31,regular,20.0,True
4317,2022-03-08,,regular,23.0,False
1230,2022-01-19,2022-02-28,regular,40.0,True
6622,2022-03-14,,regular,17.0,False
2552,2022-02-06,2022-03-07,regular,29.0,True
6419,2022-03-26,,regular,5.0,False
8287,2022-02-20,2022-02-26,fast,6.0,True
992,2022-01-30,2022-03-10,regular,39.0,True
7349,2022-01-28,2022-02-04,fast,7.0,True
9947,2022-03-06,,chunk,25.0,False
1210,2022-01-26,2022-02-21,regular,26.0,True
9857,2022-02-24,,chunk,35.0,False
4835,2022-02-05,2022-03-09,regular,32.0,True
8733,2022-03-03,,fast,28.0,False
6269,2022-01-08,2022-01-27,regular,19.0,True
8078,2022-02-23,2022-03-08,fast,13.0,True
5057,2022-01-13,2022-02-02,regular,20.0,True
8214,2022-01-19,,fast,71.0,False
2464,2022-02-04,,regular,55.0,False
738,2022-02-01,2022-03-05,regular,32.0,True
3727,2022-01-09,2022-02-04,regular,26.0,True
1987,2022-02-03,2022-02-24,regular,21.0,True
5305,2022-03-17,,regular,14.0,False
240,2022-01-22,2022-03-06,regular,43.0,True
6728,2022-01-15,2022-02-10,regular,26.0,True
1720,2022-03-19,,regular,12.0,False
9352,2022-01-15,,chunk,75.0,False
7413,2022-02-27,2022-03-27,fast,28.0,True
708,2022-02-26,2022-03-23,regular,25.0,True
7374,2022-02-25,,fast,34.0,False
3492,2022-03-28,,regular,3.0,False
999,2022-02-13,2022-03-15,regular,30.0,True
8547,2022-01-14,2022-01-29,fast,15.0,True
2840,2022-01-06,2022-02-06,regular,31.0,True
4109,2022-01-16,,regular,74.0,False
9252,2022-01-15,2022-03-13,chunk,57.0,True
2230,2022-01-15,,regular,75.0,False
1984,2022-01-07,2022-02-10,regular,34.0,True
1885,2022-02-25,2022-03-23,regular,26.0,True
6187,2022-03-26,,regular,5.0,False
2072,2022-01-20,2022-02-23,regular,34.0,True
6532,2022-01-07,2022-02-06,regular,30.0,True
5050,2022-01-17,,regular,73.0,False
4800,2022-03-02,2022-03-31,regular,29.0,True
3815,2022-02-18,2022-03-11,regular,21.0,True
8765,2022-01-06,2022-01-30,fast,24.0,True
9469,2022-02-08,,chunk,51.0,False
215,2022-03-12,,regular,19.0,False
1986,2022-02-02,,regular,57.0,False
7331,2022-01-03,2022-01-06,fast,3.0,True
110,2022-03-14,2022-03-30,regular,16.0,True
2768,2022-03-24,,regular,7.0,False
1782,2022-03-27,,regular,4.0,False
3047,2022-01-08,,regular,82.0,False
4373,2022-01-16,2022-02-09,regular,24.0,True
2186,2022-01-06,2022-02-12,regular,37.0,True
1115,2022-02-02,,regular,57.0,False
2894,2022-03-22,,regular,9.0,False
956,2022-01-15,,regular,75.0,False
9148,2022-02-13,,chunk,46.0,False
5380,2022-01-07,,regular,83.0,False
8997,2022-03-26,,fast,5.0,False
7810,2022-03-18,2022-03-29,fast,11.0,True
9294,2022-01-10,2022-03-08,chunk,57.0,True
329,2022-01-31,2022-03-06,regular,34.0,True
8484,2022-03-10,2022-03-27,fast,17.0,True
5082,2022-03-02,,regular,29.0,False
2058,2022-02-05,2022-03-03,regular,26.0,True
7596,2022-01-13,2022-02-07,fast,25.0,True
1715,2022-03-04,,regular,27.0,False
2478,2022-02-14,2022-03-08,regular,22.0,True
3331,2022-02-10,2022-03-12,regular,30.0,True
5502,2022-02-19,2022-03-29,regular,38.0,True
3224,2022-03-23,,regular,8.0,False
5126,2022-03-05,,regular,26.0,False
9349,2022-01-23,,chunk,67.0,False
745,2022-03-25,,regular,6.0,False
660,2022-01-15,2022-02-19,regular,35.0,True
2040,2022-02-17,2022-03-11,regular,22.0,True
3953,2022-02-20,,regular,39.0,False
8617,2022-02-19,2022-03-04,fast,13.0,True
4775,2022-03-05,,regular,26.0,False
7267,2022-02-11,2022-03-06,fast,23.0,True
8082,2022-02-25,,fast,34.0,False
6215,2022-01-13,2022-01-31,regular,18.0,True
9495,2022-01-27,,chunk,63.0,False
6629,2022-03-08,,regular,23.0,False
2487,2022-01-23,2022-03-03,regular,39.0,True
4964,2022-03-04,,regular,27.0,False
8761,2022-01-12,2022-02-06,fast,25.0,True
866,2022-02-16,2022-03-23,regular,35.0,True
5596,2022-01-26,,regular,64.0,False
1061,2022-03-09,2022-03-19,regular,10.0,True
575,2022-03-15,,regular,16.0,False
2759,2022-03-06,2022-03-31,regular,25.0,True
4046,2022-03-07,,regular,24.0,False
7857,2022-01-30,2022-02-17,fast,18.0,True
164,2022-03-22,,regular,9.0,False
275,2022-02-23,,regular,36.0,False
2573,2022-02-02,2022-03-05,regular,31.0,True
5325,2022-03-23,,regular,8.0,False
789,2022-03-05,,regular,26.0,False
9637,2022-01-21,2022-03-21,chunk,59.0,True
2099,2022-03-03,2022-03-27,regular,24.0,True
4763,2022-03-08,,regular,23.0,False
5646,2022-03-10,,regular,21.0,False
5833,2022-01-08,,regular,82.0,False
9827,2022-01-15,,chunk,75.0,False
5465,2022-02-01,2022-03-01,regular,28.0,True
8358,2022-01-10,2022-02-05,fast,26.0,True
3634,2022-03-17,,regular,14.0,False
8991,2022-01-09,,fast,81.0,False
1501,2022-03-06,,regular,25.0,False
2600,2022-01-08,2022-01-19,regular,11.0,True
5689,2022-03-24,,regular,7.0,False
3053,2022-01-13,2022-02-14,regular,32.0,True
6736,2022-02-16,,regular,43.0,False
2503,2022-03-29,,regular,2.0,False
5991,2022-02-04,,regular,55.0,False
1624,2022-01-13,2022-02-15,regular,33.0,True
5508,2022-01-30,2022-02-26,regular,27.0,True
7492,2022-01-19,2022-02-18,fast,30.0,True
9084,2022-02-19,,chunk,40.0,False
4757,2022-03-09,2022-03-30,regular,21.0,True
8276,2022-01-23,2022-02-28,fast,36.0,True
9247,2022-03-13,,chunk,18.0,False
5493,2022-02-28,,regular,31.0,False
4098,2022-01-23,2022-03-06,regular,42.0,True
8793,2022-03-05,2022-03-21,fast,16.0,True
1530,2022-02-13,2022-03-03,regular,18.0,True
1596,2022-01-04,2022-02-16,regular,43.0,True
3139,2022-02-11,2022-03-16,regular,33.0,True
4128,2022-01-23,2022-02-20,regular,28.0,True
1587,2022-03-07,,regular,24.0,False
6167,2022-03-21,,regular,10.0,False
6406,2022-02-20,2022-03-23,regular,31.0,True
5068,2022-02-19,2022-03-22,regular,31.0,True
6224,2022-02-18,2022-03-11,regular,21.0,True
4032,2022-03-24,,regular,7.0,False
7064,2022-03-11,2022-03-23,fast,12.0,True
9985,2022-01-05,,chunk,85.0,False
7853,2022-03-13,2022-03-30,fast,17.0,True
4199,2022-01-11,2022-02-02,regular,22.0,True
7387,2022-03-15,2022-03-30,fast,15.0,True
338,2022-03-22,,regular,9.0,False
3322,2022-02-15,,regular,44.0,False
2770,2022-01-15,2022-02-13,regular,29.0,True
1218,2022-02-18,2022-03-15,regular,25.0,True
6896,2022-01-28,2022-02-22,regular,25.0,True
1821,2022-03-14,,regular,17.0,False
1673,2022-02-04,,regular,55.0,False
2862,2022-02-05,2022-03-01,regular,24.0,True
1980,2022-02-24,,regular,35.0,False
9813,2022-03-02,,chunk,29.0,False
2796,2022-02-17,,regular,42.0,False
7848,2022-02-09,,fast,50.0,False
4750,2022-03-11,,regular,20.0,False
9416,2022-03-09,,chunk,22.0,False
3177,2022-01-13,2022-02-18,regular,36.0,True
5180,2022-03-22,,regular,9.0,False
3442,2022-01-13,2022-02-08,regular,26.0,True
4186,2022-02-15,2022-03-22,regular,35.0,True
1473,2022-03-15,,regular,16.0,False
2086,2022-03-05,,regular,26.0,False
111,2022-03-27,,regular,4.0,False
4849,2022-01-05,2022-02-14,regular,40.0,True
7285,2022-01-13,2022-01-29,fast,16.0,True
9443,2022-03-25,,chunk,6.0,False
7556,2022-02-20,,fast,39.0,False
6405,2022-03-07,,regular,24.0,False
3106,2022-03-11,2022-03-23,regular,12.0,True
3058,2022-03-24,,regular,7.0,False
4305,2022-02-21,2022-03-25,regular,32.0,True
91,2022-03-29,,regular,2.0,False
3624,2022-01-15,,regular,75.0,False
9331,2022-03-19,,chunk,12.0,False
8330,2022-02-21,2022-03-21,fast,28.0,True
9621,2022-01-20,,chunk,70.0,False
7440,2022-02-26,2022-03-16,fast,18.0,True
3283,2022-01-22,2022-02-21,regular,30.0,True
7534,2022-02-07,2022-03-03,fast,24.0,True
9186,2022-01-17,,chunk,73.0,False
6594,2022-03-01,,regular,30.0,False
788,2022-01-03,,regular,87.0,False
5688,2022-01-11,2022-02-16,regular,36.0,True
6699,2022-02-11,2022-03-15,regular,32.0,True
3448,2022-03-30,,regular,1.0,False
4459,2022-01-03,2022-02-08,regular,36.0,True
4966,2022-03-06,,regular,25.0,False
2365,2022-03-22,,regular,9.0,False
9246,2022-01-28,,chunk,62.0,False
5056,2022-02-01,,regular,58.0,False
1141,2022-01-09,,regular,81.0,False
3731,2022-03-04,,regular,27.0,False
6351,2022-02-23,,regular,36.0,False
9990,2022-02-26,,chunk,33.0,False
5022,2022-03-04,2022-03-31,regular,27.0,True
4400,2022-01-17,2022-02-16,regular,30.0,True
562,2022-01-27,2022-03-02,regular,34.0,True
4942,2022-02-21,2022-03-22,regular,29.0,True
3466,2022-03-07,,regular,24.0,False
7961,2022-01-13,2022-01-27,fast,14.0,True
7170,2022-03-21,,fast,10.0,False
7408,2022-03-26,,fast,5.0,False
7562,2022-02-06,,fast,53.0,False
279,2022-01-05,2022-01-25,regular,20.0,True
2442,2022-02-15,2022-03-21,regular,34.0,True
3469,2022-02-10,2022-03-05,regular,23.0,True
295,2022-01-10,,regular,80.0,False
7696,2022-01-20,2022-01-25,fast,5.0,True
6275,2022-03-02,,regular,29.0,False
6421,2022-02-27,,regular,32.0,False
9843,2022-01-18,,chunk,72.0,False
2190,2022-01-01,2022-01-25,regular,24.0,True
9114,2022-02-27,,chunk,32.0,False
9338,2022-03-04,,chunk,27.0,False
1497,2022-01-02,,regular,88.0,False
7653,2022-01-19,2022-02-27,fast,39.0,True
5055,2022-03-30,,regular,1.0,False
5666,2022-03-16,2022-03-31,regular,15.0,True
314,2022-01-18,2022-02-20,regular,33.0,True
1271,2022-01-12,2022-02-02,regular,21.0,True
6745,2022-01-28,2022-03-01,regular,32.0,True
4092,2022-03-30,,regular,1.0,False
6015,2022-03-09,,regular,22.0,False
6885,2022-01-13,,regular,77.0,False
73,2022-03-03,,regular,28.0,False
5319,2022-02-15,2022-03-15,regular,28.0,True
2592,2022-03-30,,regular,1.0,False
7335,2022-02-19,,fast,40.0,False
7985,2022-03-02,2022-03-16,fast,14.0,True
4967,2022-02-12,2022-03-09,regular,25.0,True
3208,2022-03-04,2022-03-29,regular,25.0,True
4196,2022-01-15,2022-02-04,regular,20.0,True
3988,2022-03-04,,regular,27.0,False
2560,2022-01-06,2022-02-04,regular,29.0,True
7442,2022-03-03,,fast,28.0,False
9359,2022-02-04,,chunk,55.0,False
2327,2022-01-24,2022-02-26,regular,33.0,True
8495,2022-02-16,,fast,43.0,False
2451,2022-01-27,2022-03-05,regular,37.0,True
1763,2022-01-21,,regular,69.0,False
1468,2022-03-01,,regular,30.0,False
7432,2022-01-16,2022-02-03,fast,18.0,True
8114,2022-03-05,2022-03-18,fast,13.0,True
4359,2022-01-06,2022-02-11,regular,36.0,True
4520,2022-03-16,,regular,15.0,False
3034,2022-02-25,,regular,34.0,False
5768,2022-03-11,,regular,20.0,False
7670,2022-03-24,,fast,7.0,False
2054,2022-01-24,,regular,66.0,False
4200,2022-02-10,2022-03-17,regular,35.0,True
1626,2022-01-16,2022-02-08,regular,23.0,True
862,2022-02-20,2022-03-13,regular,21.0,True
5331,2022-03-27,,regular,4.0,False
9743,2022-02-03,,chunk,56.0,False
4989,2022-03-24,,regular,7.0,False
3298,2022-03-13,,regular,18.0,False
6291,2022-01-24,,regular,66.0,False
9407,2022-01-13,,chunk,77.0,False
8250,2022-01-07,2022-01-31,fast,24.0,True
895,2022-01-03,2022-01-28,regular,25.0,True
9057,2022-03-07,,chunk,24.0,False
8850,2022-01-10,,fast,80.0,False
8684,2022-03-07,,fast,24.0,False
658,2022-02-06,2022-03-08,regular,30.0,True
4579,2022-01-09,2022-02-11,regular,33.0,True
2960,2022-01-10,2022-02-02,regular,23.0,True
7822,2022-02-16,2022-03-22,fast,34.0,True
2521,2022-01-30,2022-03-03,regular,32.0,True
7382,2022-03-16,,fast,15.0,False
1341,2022-02-10,2022-03-18,regular,36.0,True
9847,2022-01-19,,chunk,71.0,False
7783,2022-03-05,,fast,26.0,False
9811,2022-03-08,,chunk,23.0,False
2242,2022-02-10,,regular,49.0,False
4219,2022-03-20,,regular,11.0,False
4604,2022-03-15,,regular,16.0,False
7097,2022-03-07,2022-03-29,fast,22.0,True
3860,2022-03-06,,regular,25.0,False
2813,2022-01-23,2022-02-14,regular,22.0,True
8824,2022-01-07,2022-02-11,fast,35.0,True
4000,2022-02-16,,regular,43.0,False
2221,2022-03-22,,regular,9.0,False
3027,2022-01-29,2022-02-18,regular,20.0,True
2853,2022-02-08,2022-02-26,regular,18.0,True
3163,2022-01-31,2022-03-05,regular,33.0,True
9062,2022-02-18,,chunk,41.0,False
9266,2022-01-25,2022-03-30,chunk,64.0,True
4637,2022-03-10,,regular,21.0,False
9117,2022-03-10,,chunk,21.0,False
3394,2022-02-04,2022-03-12,regular,36.0,True
1393,2022-01-26,,regular,64.0,False
1199,2022-02-18,2022-03-24,regular,34.0,True
1928,2022-02-16,,regular,43.0,False
4461,2022-03-25,,regular,6.0,False
5032,2022-02-05,2022-03-09,regular,32.0,True
1319,2022-03-25,,regular,6.0,False
9457,2022-01-26,,chunk,64.0,False
431,2022-03-03,,regular,28.0,False
5959,2022-03-30,,regular,1.0,False
1930,2022-01-14,2022-02-13,regular,30.0,True
239,2022-03-24,,regular,7.0,False
2448,2022-01-19,2022-02-10,regular,22.0,True
9726,2022-03-25,,chunk,6.0,False
3729,2022-01-19,2022-02-17,regular,29.0,True
2962,2022-01-24,2022-02-22,regular,29.0,True
5231,2022-03-01,,regular,30.0,False
1096,2022-03-09,,regular,22.0,False
375,2022-03-07,,regular,24.0,False
32,2022-03-22,,regular,9.0,False
2775,2022-03-05,2022-03-28,regular,23.0,True
403,2022-02-10,2022-03-13,regular,31.0,True
5243,2022-01-09,2022-02-02,regular,24.0,True
9648,2022-02-09,,chunk,50.0,False
7042,2022-01-14,2022-01-19,fast,5.0,True
1725,2022-03-04,,regular,27.0,False
1119,2022-01-26,2022-03-03,regular,36.0,True
3455,2022-02-14,,regular,45.0,False
6971,2022-02-07,2022-03-15,regular,36.0,True
134,2022-02-02,2022-02-27,regular,25.0,True
7319,2022-03-28,,fast,3.0,False
4760,2022-02-03,2022-03-01,regular,26.0,True
9310,2022-03-11,,chunk,20.0,False
8966,2022-01-24,2022-02-16,fast,23.0,True
7982,2022-01-20,2022-03-02,fast,41.0,True
2319,2022-01-12,2022-01-31,regular,19.0,True
8721,2022-02-14,2022-02-20,fast,6.0,True
3090,2022-03-11,,regular,20.0,False
3385,2022-03-16,,regular,15.0,False
8657,2022-02-08,2022-03-04,fast,24.0,True
6989,2022-03-15,,regular,16.0,False
3973,2022-03-02,2022-03-17,regular,15.0,True
1156,2022-01-04,,regular,86.0,False
9224,2022-03-16,,chunk,15.0,False
8310,2022-02-03,,fast,56.0,False
6157,2022-03-11,,regular,20.0,False
6670,2022-03-09,,regular,22.0,False
8017,2022-02-06,2022-02-25,fast,19.0,True
8738,2022-02-28,,fast,31.0,False
6901,2022-01-21,,regular,69.0,False
8507,2022-03-18,,fast,13.0,False
2898,2022-01-27,,regular,63.0,False
2741,2022-01-11,,regular,79.0,False
7109,2022-03-22,2022-03-27,fast,5.0,True
3454,2022-01-10,2022-02-15,regular,36.0,True
4512,2022-01-01,2022-01-22,regular,21.0,True
7149,2022-01-30,2022-02-11,fast,12.0,True
7350,2022-03-04,,fast,27.0,False
5851,2022-01-21,2022-02-24,regular,34.0,True
7467,2022-01-21,2022-01-30,fast,9.0,True
5335,2022-02-12,2022-03-08,regular,24.0,True
219,2022-02-18,2022-03-26,regular,36.0,True
1954,2022-03-06,,regular,25.0,False
6999,2022-01-18,,regular,72.0,False
1571,2022-02-15,2022-03-23,regular,36.0,True
1217,2022-02-25,2022-03-21,regular,24.0,True
6237,2022-01-04,2022-02-04,regular,31.0,True
7195,2022-02-01,2022-02-21,fast,20.0,True
8858,2022-01-18,2022-01-23,fast,5.0,True
2902,2022-01-23,2022-02-12,regular,20.0,True
3569,2022-03-30,,regular,1.0,False
432,2022-02-11,2022-03-17,regular,34.0,True
6967,2022-02-11,,regular,48.0,False
970,2022-02-05,2022-03-13,regular,36.0,True
2715,2022-03-25,,regular,6.0,False
8631,2022-02-10,2022-03-16,fast,34.0,True
5312,2022-03-26,,regular,5.0,False
5736,2022-03-29,,regular,2.0,False
4184,2022-02-08,,regular,51.0,False
2641,2022-03-11,,regular,20.0,False
4542,2022-03-16,,regular,15.0,False
5572,2022-03-23,,regular,8.0,False
6979,2022-01-03,,regular,87.0,False
3950,2022-03-19,,regular,12.0,False
5299,2022-03-12,,regular,19.0,False
1276,2022-01-21,2022-02-17,regular,27.0,True
4987,2022-02-21,2022-03-13,regular,20.0,True
8588,2022-01-30,2022-02-18,fast,19.0,True
6392,2022-01-10,2022-02-14,regular,35.0,True
7824,2022-02-08,2022-03-18,fast,38.0,True
2472,2022-01-06,2022-02-06,regular,31.0,True
8878,2022-02-18,2022-02-27,fast,9.0,True
6700,2022-02-04,2022-03-05,regular,29.0,True
2829,2022-03-20,,regular,11.0,False
8697,2022-02-24,2022-03-18,fast,22.0,True
362,2022-03-27,,regular,4.0,False
4955,2022-01-07,,regular,83.0,False
7503,2022-02-21,2022-03-26,fast,33.0,True
3393,2022-01-02,2022-02-03,regular,32.0,True
6518,2022-01-13,,regular,77.0,False
9038,2022-03-18,,chunk,13.0,False
2818,2022-02-15,2022-03-17,regular,30.0,True
7533,2022-02-14,2022-03-06,fast,20.0,True
7718,2022-01-18,2022-02-20,fast,33.0,True
3753,2022-01-11,2022-02-12,regular,32.0,True
4778,2022-01-21,2022-02-05,regular,15.0,True
6755,2022-01-15,,regular,75.0,False
4179,2022-03-09,,regular,22.0,False
1786,2022-02-25,2022-03-22,regular,25.0,True
5213,2022-02-24,2022-03-27,regular,31.0,True
9147,2022-02-28,,chunk,31.0,False
540,2022-01-11,2022-02-19,regular,39.0,True
4427,2022-03-10,,regular,21.0,False
9627,2022-01-14,,chunk,76.0,False
1259,2022-02-15,2022-03-31,regular,44.0,True
2908,2022-02-19,2022-03-12,regular,21.0,True
2826,2022-02-16,2022-03-17,regular,29.0,True
3029,2022-01-21,2022-02-22,regular,32.0,True
9411,2022-01-06,2022-03-07,chunk,60.0,True
335,2022-01-03,2022-01-26,regular,23.0,True
6252,2022-02-13,,regular,46.0,False
5251,2022-02-14,,regular,45.0,False
2719,2022-03-23,,regular,8.0,False
3528,2022-03-14,,regular,17.0,False
4591,2022-03-29,,regular,2.0,False
6147,2022-01-14,,regular,76.0,False
2564,2022-01-16,2022-02-07,regular,22.0,True
5942,2022-03-27,,regular,4.0,False
896,2022-02-16,2022-03-11,regular,23.0,True
4374,2022-03-07,,regular,24.0,False
4007,2022-02-01,,regular,58.0,False
8728,2022-01-04,,fast,86.0,False
8262,2022-01-27,,fast,63.0,False
1876,2022-02-09,2022-02-27,regular,18.0,True
511,2022-01-28,,regular,62.0,False
2241,2022-02-27,2022-03-23,regular,24.0,True
8231,2022-03-08,,fast,23.0,False
4822,2022-02-28,2022-03-30,regular,30.0,True
3386,2022-03-16,,regular,15.0,False
6011,2022-03-19,,regular,12.0,False
1182,2022-03-22,,regular,9.0,False
8889,2022-03-09,,fast,22.0,False
5093,2022-01-23,2022-02-23,regular,31.0,True
269,2022-02-13,,regular,46.0,False
9841,2022-03-23,,chunk,8.0,False
1999,2022-02-09,2022-03-14,regular,33.0,True
6725,2022-01-30,2022-02-24,regular,25.0,True
4744,2022-03-30,,regular,1.0,False
8472,2022-02-05,2022-03-06,fast,29.0,True
7800,2022-03-12,,fast,19.0,False
3544,2022-01-14,2022-02-27,regular,44.0,True
720,2022-02-21,,regular,38.0,False
2493,2022-02-17,,regular,42.0,False
4358,2022-01-13,,regular,77.0,False
2388,2022-02-27,2022-03-14,regular,15.0,True
6963,2022-02-25,,regular,34.0,False
7198,2022-02-10,2022-02-28,fast,18.0,True
3245,2022-01-18,2022-02-12,regular,25.0,True
6404,2022-03-05,2022-03-27,regular,22.0,True
8357,2022-01-12,2022-02-21,fast,40.0,True
7330,2022-01-31,,fast,59.0,False
4060,2022-02-07,2022-03-09,regular,30.0,True
1326,2022-03-29,,regular,2.0,False
6643,2022-01-05,2022-01-28,regular,23.0,True
345,2022-02-01,2022-03-11,regular,38.0,True
491,2022-02-23,2022-03-30,regular,35.0,True
6978,2022-02-17,2022-03-16,regular,27.0,True
4163,2022-01-29,2022-02-17,regular,19.0,True
1919,2022-02-18,2022-03-18,regular,28.0,True
3462,2022-03-07,,regular,24.0,False
6936,2022-03-20,,regular,11.0,False
2289,2022-01-04,2022-02-07,regular,34.0,True
87,2022-03-25,,regular,6.0,False
4353,2022-01-07,2022-02-04,regular,28.0,True
4921,2022-03-08,,regular,23.0,False
369,2022-03-29,,regular,2.0,False
1651,2022-01-16,,regular,74.0,False
5995,2022-02-16,,regular,43.0,False
7118,2022-01-02,2022-01-26,fast,24.0,True
8630,2022-02-20,,fast,39.0,False
6737,2022-03-29,,regular,2.0,False
4439,2022-01-13,,regular,77.0,False
3608,2022-03-01,2022-03-28,regular,27.0,True
7660,2022-03-27,,fast,4.0,False
2116,2022-03-24,,regular,7.0,False
6861,2022-03-26,,regular,5.0,False
5172,2022-01-09,,regular,81.0,False
2713,2022-01-07,,regular,83.0,False
852,2022-01-30,,regular,60.0,False
4082,2022-01-24,2022-02-20,regular,27.0,True
3297,2022-01-03,2022-01-27,regular,24.0,True
3508,2022-02-22,2022-03-28,regular,34.0,True
2597,2022-01-12,,regular,78.0,False
2991,2022-02-06,,regular,53.0,False
4334,2022-01-18,2022-02-18,regular,31.0,True
6994,2022-02-15,2022-03-24,regular,37.0,True
6212,2022-03-13,,regular,18.0,False
5018,2022-03-04,,regular,27.0,False
4999,2022-01-05,2022-02-14,regular,40.0,True
1600,2022-02-10,2022-03-09,regular,27.0,True
5590,2022-03-04,2022-03-26,regular,22.0,True
6774,2022-01-26,2022-02-25,regular,30.0,True
9999,2022-02-22,,chunk,37.0,False
223,2022-02-05,,regular,54.0,False
6481,2022-03-20,,regular,11.0,False
8927,2022-01-20,2022-01-30,fast,10.0,True
9372,2022-03-15,,chunk,16.0,False
4144,2022-02-26,,regular,33.0,False
8671,2022-02-06,2022-03-05,fast,27.0,True
3716,2022-01-15,2022-02-10,regular,26.0,True
7887,2022-03-19,2022-03-27,fast,8.0,True
4215,2022-01-23,2022-02-12,regular,20.0,True
1249,2022-02-20,,regular,39.0,False
184,2022-03-08,,regular,23.0,False
9479,2022-01-15,2022-03-14,chunk,58.0,True
1075,2022-01-19,2022-02-06,regular,18.0,True
5338,2022-01-12,,regular,78.0,False
8498,2022-02-28,,fast,31.0,False
3724,2022-01-24,,regular,66.0,False
2094,2022-01-04,2022-02-06,regular,33.0,True
4564,2022-01-01,,regular,89.0,False
3840,2022-02-17,2022-03-11,regular,22.0,True
3951,2022-03-08,,regular,23.0,False
8180,2022-03-17,,fast,14.0,False
2410,2022-03-13,,regular,18.0,False
6769,2022-03-07,,regular,24.0,False
3663,2022-01-26,2022-03-01,regular,34.0,True
7933,2022-02-06,2022-02-17,fast,11.0,True
5886,2022-01-01,2022-02-04,regular,34.0,True
8581,2022-02-27,2022-03-04,fast,5.0,True
5813,2022-01-03,2022-02-05,regular,33.0,True
2657,2022-01-27,2022-02-22,regular,26.0,True
1846,2022-02-17,2022-03-26,regular,37.0,True
4176,2022-01-01,2022-01-30,regular,29.0,True
6230,2022-03-19,,regular,12.0,False
525,2022-03-16,,regular,15.0,False
1208,2022-03-19,,regular,12.0,False
6325,2022-01-11,2022-02-06,regular,26.0,True
31,2022-01-03,2022-02-03,regular,31.0,True
6003,2022-02-19,,regular,40.0,False
7856,2022-03-18,,fast,13.0,False
8822,2022-02-25,2022-03-10,fast,13.0,True
1588,2022-01-15,,regular,75.0,False
2082,2022-01-02,2022-02-03,regular,32.0,True
786,2022-01-04,2022-01-27,regular,23.0,True
4247,2022-02-13,2022-03-04,regular,19.0,True
8803,2022-01-05,,fast,85.0,False
5141,2022-02-08,2022-02-18,regular,10.0,True
6762,2022-03-08,,regular,23.0,False
3302,2022-02-17,2022-03-18,regular,29.0,True
5017,2022-03-01,2022-03-24,regular,23.0,True
9531,2022-01-25,,chunk,65.0,False
7421,2022-02-06,2022-02-17,fast,11.0,True
6221,2022-01-18,2022-02-15,regular,28.0,True
7793,2022-02-11,,fast,48.0,False
9489,2022-02-11,,chunk,48.0,False
5135,2022-02-21,,regular,38.0,False
4295,2022-03-19,,regular,12.0,False
479,2022-01-26,,regular,64.0,False
7096,2022-01-06,2022-01-15,fast,9.0,True
7441,2022-03-25,,fast,6.0,False
2338,2022-01-31,,regular,59.0,False
4842,2022-02-02,2022-03-02,regular,28.0,True
1523,2022-03-10,,regular,21.0,False
1482,2022-01-13,2022-02-08,regular,26.0,True
7431,2022-01-23,2022-02-26,fast,34.0,True
7224,2022-01-21,2022-02-23,fast,33.0,True
1816,2022-03-29,,regular,2.0,False
5616,2022-01-03,,regular,87.0,False
890,2022-01-12,2022-02-12,regular,31.0,True
5981,2022-03-29,,regular,2.0,False
2510,2022-03-29,,regular,2.0,False
9582,2022-01-20,2022-03-15,chunk,54.0,True
8427,2022-01-08,2022-01-26,fast,18.0,True
7518,2022-02-24,,fast,35.0,False
5365,2022-03-12,,regular,19.0,False
5831,2022-03-04,,regular,27.0,False
4982,2022-01-05,2022-02-07,regular,33.0,True
2650,2022-01-05,2022-01-30,regular,25.0,True
6112,2022-03-30,,regular,1.0,False
7708,2022-01-24,2022-02-16,fast,23.0,True
4444,2022-02-03,2022-02-22,regular,19.0,True
8414,2022-01-22,,fast,68.0,False
3728,2022-02-04,2022-03-08,regular,32.0,True
3849,2022-03-26,,regular,5.0,False
6958,2022-03-16,,regular,15.0,False
5770,2022-01-30,2022-02-27,regular,28.0,True
294,2022-03-05,,regular,26.0,False
2296,2022-02-17,,regular,42.0,False
5111,2022-01-30,2022-02-26,regular,27.0,True
3033,2022-01-01,2022-02-02,regular,32.0,True
252,2022-01-16,2022-02-21,regular,36.0,True
7418,2022-03-25,,fast,6.0,False
2087,2022-02-26,,regular,33.0,False
882,2022-03-25,,regular,6.0,False
3567,2022-02-24,,regular,35.0,False
42,2022-01-28,2022-02-19,regular,22.0,True
2555,2022-02-01,2022-03-04,regular,31.0,True
3235,2022-03-27,,regular,4.0,False
8119,2022-01-31,2022-03-23,fast,51.0,True
5290,2022-03-21,,regular,10.0,False
8998,2022-02-21,,fast,38.0,False
6891,2022-01-01,2022-02-13,regular,43.0,True
4351,2022-01-07,2022-02-07,regular,31.0,True
6667,2022-02-08,2022-02-28,regular,20.0,True
8376,2022-01-08,2022-02-04,fast,27.0,True
9931,2022-02-07,,chunk,52.0,False
10,2022-03-08,,regular,23.0,False
6218,2022-02-03,2022-03-07,regular,32.0,True
4394,2022-02-04,,regular,55.0,False
271,2022-02-11,2022-02-20,regular,9.0,True
4518,2022-01-14,2022-02-13,regular,30.0,True
